t,regime,y,delta,abs_delta,z,alpha,mu1,mu2,mu3,prediction,target,abs_error
12064,1,-0.7641853094100952,0.3071326017379761,0.3071326017379761,0.4214382767677307,0.44734981656074524,0.030840840190649033,0.5435585379600525,0.42560064792633057,-0.8684148788452148,-0.7641853094100952,0.10422956943511963
12065,1,-0.27512532472610474,0.4890599846839905,0.4890599846839905,0.4096401631832123,0.43961384892463684,0.032455749809741974,0.5513871312141418,0.4161570370197296,-0.5060098767280579,-0.27512532472610474,0.23088455200195312
12066,1,0.15765663981437683,0.43278196454048157,0.43278196454048157,0.4008547365665436,0.4338720440864563,0.03370409831404686,0.5571426749229431,0.40915316343307495,0.11263080686330795,0.15765663981437683,0.04502583295106888
12067,1,0.5782336592674255,0.4205770194530487,0.4205770194530487,0.37019938230514526,0.41399210691452026,0.03838013485074043,0.5766777396202087,0.3849421441555023,0.5553785562515259,0.5782336592674255,0.022855103015899658
12068,1,0.8908993005752563,0.3126656413078308,0.3126656413078308,0.33511048555374146,0.3916124701499939,0.044383157044649124,0.5978492498397827,0.35776761174201965,0.9336442947387695,0.8908993005752563,0.042744994163513184
12069,1,1.1608394384384155,0.2699401378631592,0.2699401378631592,0.29269513487815857,0.36524808406829834,0.05265062674880028,0.6214642524719238,0.3258850872516632,1.155510663986206,1.1608394384384155,0.005328774452209473
12070,1,1.1450845003128052,-0.01575493812561035,0.01575493812561035,0.255848228931427,0.34308359026908875,0.0608108825981617,0.6399755477905273,0.29921355843544006,1.3326447010040283,1.1450845003128052,0.18756020069122314
12071,1,1.0815812349319458,-0.06350326538085938,0.06350326538085938,0.2308671474456787,0.32850033044815063,0.06689916551113129,0.6513575315475464,0.2817433774471283,1.246694803237915,1.0815812349319458,0.16511356830596924
12072,1,1.0205342769622803,-0.06104695796966553,0.06104695796966553,0.23419831693172455,0.3304230272769928,0.06606033444404602,0.6498969197273254,0.2840427756309509,1.1332497596740723,1.0205342769622803,0.11271548271179199
12073,1,0.8436431288719177,-0.17689114809036255,0.17689114809036255,0.2418568730354309,0.3348693549633026,0.06416360288858414,0.6464715003967285,0.28936487436294556,1.0376203060150146,0.8436431288719177,0.19397717714309692
12074,1,0.6731539368629456,-0.17048919200897217,0.17048919200897217,0.25070542097091675,0.3400507867336273,0.0620264932513237,0.6423986554145813,0.2955748438835144,0.8228014707565308,0.6731539368629456,0.1496475338935852
12075,1,0.5626144409179688,-0.1105394959449768,0.1105394959449768,0.2691529393196106,0.35100042819976807,0.0577545128762722,0.6335207223892212,0.3087247610092163,0.6185009479522705,0.5626144409179688,0.05588650703430176
12076,1,0.5391421318054199,-0.023472309112548828,0.023472309112548828,0.28579622507095337,0.3610423803329468,0.054106853902339935,0.6250790953636169,0.3208140730857849,0.4952991008758545,0.5391421318054199,0.04384303092956543
12077,1,0.4620577394962311,-0.07708439230918884,0.07708439230918884,0.2965677082538605,0.3676195740699768,0.05184727534651756,0.6194062829017639,0.32874640822410583,0.4890090227127075,0.4620577394962311,0.02695128321647644
12078,1,0.2813276946544647,-0.18073004484176636,0.18073004484176636,0.29820287227630615,0.36862319707870483,0.05151105672121048,0.6185311675071716,0.3299577534198761,0.4081135094165802,0.2813276946544647,0.12678581476211548
12079,1,0.10978426784276962,-0.1715434193611145,0.1715434193611145,0.30292385816574097,0.37152835726737976,0.050550319254398346,0.6159842610359192,0.33346548676490784,0.18899822235107422,0.10978426784276962,0.0792139545083046
12080,1,-0.1035570502281189,-0.21334132552146912,0.21334132552146912,0.31667447090148926,0.38005098700523376,0.04783504083752632,0.6083976030349731,0.34376731514930725,-0.011240296065807343,-0.1035570502281189,0.09231675416231155
12081,1,-0.2508915364742279,-0.147334486246109,0.147334486246109,0.3270845115184784,0.3865611255168915,0.045859821140766144,0.6024929285049438,0.3516472578048706,-0.2639563977718353,-0.2508915364742279,0.013064861297607422
12082,1,-0.3795212507247925,-0.12862971425056458,0.12862971425056458,0.3425642251968384,0.39632758498191833,0.04304704815149307,0.5934678316116333,0.3634851276874542,-0.41305357217788696,-0.3795212507247925,0.03353232145309448
12083,1,-0.4764595925807953,-0.09693834185600281,0.09693834185600281,0.35194793343544006,0.4022945761680603,0.04141240939497948,0.587860643863678,0.3707268536090851,-0.5358089208602905,-0.4764595925807953,0.05934932827949524
12084,1,-0.5700668096542358,-0.09360721707344055,0.09360721707344055,0.3604024648666382,0.40769875049591064,0.03998396173119545,0.5827247500419617,0.3772912621498108,-0.6158969402313232,-0.5700668096542358,0.0458301305770874
